d,regionid,sun_hours
2009-01-01,QLD1,10.172229398333334
2009-01-01,NSW1,9.65533895638889
2009-01-01,VIC1,9.291649135555554
2009-01-01,TAS1,8.743380396944445
2009-01-01,SA1,9.562230300833333
2009-01-02,QLD1,10.179862155833334
2009-01-02,NSW1,9.665372256944446
2009-01-02,VIC1,9.303443391666667
2009-01-02,TAS1,8.757913515277778
2009-01-02,SA1,9.572736860277779
2009-01-03,QLD1,10.188124046944445
2009-01-03,NSW1,9.676230364166667
2009-01-03,VIC1,9.316203652499999
2009-01-03,TAS1,8.773633028055556
2009-01-03,SA1,9.584103866388888
2009-01-04,QLD1,10.197007779722222
2009-01-04,NSW1,9.687903253333333
2009-01-04,VIC1,9.329917675277777
2009-01-04,TAS1,8.790522775833333
2009-01-04,SA1,9.59632072888889
2009-01-05,QLD1,10.206505572222222
2009-01-05,NSW1,9.700380236666666
2009-01-05,VIC1,9.344572417777776
2009-01-05,TAS1,8.808565567777778
2009-01-05,SA1,9.609376160833333
2009-01-06,QLD1,10.216609175555556
2009-01-06,NSW1,9.713649994722223
2009-01-06,VIC1,9.360154080555555
2009-01-06,TAS1,8.827743243333334
2009-01-06,SA1,9.623258215
2009-01-07,QLD1,10.227309899444444
2009-01-07,NSW1,9.727700614444444
2009-01-07,VIC1,9.376648154166666
2009-01-07,TAS1,8.848036735833334
2009-01-07,SA1,9.63795432138889
2009-01-08,QLD1,10.238598636944443
2009-01-08,NSW1,9.742519623611111
2009-01-08,VIC1,9.394039461944445
2009-01-08,TAS1,8.869426136666666
2009-01-08,SA1,9.653451325277777
2009-01-09,QLD1,10.250465891111112
2009-01-09,NSW1,9.758094029999999
2009-01-09,VIC1,9.412312211388889
2009-01-09,TAS1,8.891890763333333
2009-01-09,SA1,9.66973552888889
2009-01-10,QLD1,10.262901802777778
2009-01-10,NSW1,9.774410359166666
2009-01-10,VIC1,9.43145003861111
2009-01-10,TAS1,8.915409225277777
2009-01-10,SA1,9.686792731111112
2009-01-11,QLD1,10.275896176944444
2009-01-11,NSW1,9.7914546925
2009-01-11,VIC1,9.451436060833334
2009-01-11,TAS1,8.939959491666666
2009-01-11,SA1,9.704608268888888
2009-01-12,QLD1,10.289438510555556
2009-01-12,NSW1,9.809212708333334
2009-01-12,VIC1,9.472252922777779
2009-01-12,TAS1,8.965518960555555
2009-01-12,SA1,9.723167059166666
2009-01-13,QLD1,10.303518020833334
2009-01-13,NSW1,9.827669720277779
2009-01-13,VIC1,9.493882847222222
2009-01-13,TAS1,8.992064525277778
2009-01-13,SA1,9.742453639999999
2009-01-14,QLD1,10.318123672222221
2009-01-14,NSW1,9.846810715555556
2009-01-14,VIC1,9.516307683055555
2009-01-14,TAS1,9.019572641388889
2009-01-14,SA1,9.76245221361111
2009-01-15,QLD1,10.333244205277778
2009-01-15,NSW1,9.866620395833333
2009-01-15,VIC1,9.539508955277777
2009-01-15,TAS1,9.048019394166667
2009-01-15,SA1,9.783146686111111
2009-01-16,QLD1,10.348868162777778
2009-01-16,NSW1,9.887083214722223
2009-01-16,VIC1,9.563467911666667
2009-01-16,TAS1,9.077380561666667
2009-01-16,SA1,9.804520708611111
2009-01-17,QLD1,10.364983918611111
2009-01-17,NSW1,9.908183416388889
2009-01-17,VIC1,9.588165569166668
2009-01-17,TAS1,9.107631678333334
2009-01-17,SA1,9.826557718611111
2009-01-18,QLD1,10.38157970277778
2009-01-18,NSW1,9.929905071111111
2009-01-18,VIC1,9.613582761666667
2009-01-18,TAS1,9.138748097777778
2009-01-18,SA1,9.849240977222223
2009-01-19,QLD1,10.398643628333332
2009-01-19,NSW1,9.952232115
2009-01-19,VIC1,9.639700182222223
2009-01-19,TAS1,9.170705049444445
2009-01-19,SA1,9.872553609722221
2009-01-20,QLD1,10.416163716111113
2009-01-20,NSW1,9.975148380277778
2009-01-20,VIC1,9.666498428611112
2009-01-20,TAS1,9.203477698333334
2009-01-20,SA1,9.89647864027778
2009-01-21,QLD1,10.434127921111111
2009-01-21,NSW1,9.998637634444444
2009-01-21,VIC1,9.693958042222222
2009-01-21,TAS1,9.237041197777778
2009-01-21,SA1,9.920999030277779
2009-01-22,QLD1,10.452524154444443
2009-01-22,NSW1,10.022683609722222
2009-01-22,VIC1,9.722059551666666
2009-01-22,TAS1,9.271370742777776
2009-01-22,SA1,9.946097710833333
2009-01-23,QLD1,10.471340306944445
2009-01-23,NSW1,10.047270035833334
2009-01-23,VIC1,9.750783507222222
2009-01-23,TAS1,9.306441617777779
2009-01-23,SA1,9.971757618055557
2009-01-24,QLD1,10.490564271666667
2009-01-24,NSW1,10.072380670000001
2009-01-24,VIC1,9.78011051861111
2009-01-24,TAS1,9.342229245555556
2009-01-24,SA1,9.997961722222222
2009-01-25,QLD1,10.510183964722223
2009-01-25,NSW1,10.097999325555556
2009-01-25,VIC1,9.810021290277778
2009-01-25,TAS1,9.378709228611111
2009-01-25,SA1,10.02469305888889
2009-01-26,QLD1,10.530187345000002
2009-01-26,NSW1,10.124109898333334
2009-01-26,VIC1,9.840496652222221
2009-01-26,TAS1,9.415857391666666
2009-01-26,SA1,10.05193475777778
2009-01-27,QLD1,10.550562433055555
2009-01-27,NSW1,10.1506963925
2009-01-27,VIC1,9.871517591111111
2009-01-27,TAS1,9.453649819166666
2009-01-27,SA1,10.079670068611112
2009-01-28,QLD1,10.57129732861111
2009-01-28,NSW1,10.177742945555554
2009-01-28,VIC1,9.90306527861111
2009-01-28,TAS1,9.492062888611112
2009-01-28,SA1,10.107882386111111
2009-01-29,QLD1,10.592380228888889
2009-01-29,NSW1,10.205233848055554
2009-01-29,VIC1,9.935121096388889
2009-01-29,TAS1,9.531073305833333
2009-01-29,SA1,10.136555273055556
2009-01-30,QLD1,10.613799441944444
2009-01-30,NSW1,10.233153566666667
2009-01-30,VIC1,9.967666661666666
2009-01-30,TAS1,9.570658131111113
2009-01-30,SA1,10.16567248277778
2009-01-31,QLD1,10.635543401944444
2009-01-31,NSW1,10.261486761944443
2009-01-31,VIC1,10.000683849444446
2009-01-31,TAS1,9.6107948075
2009-01-31,SA1,10.195217977222223
2009-02-01,QLD1,10.65760068361111
2009-02-01,NSW1,10.290218305277778
2009-02-01,VIC1,10.03415481
