date,direction
2000-03-25,stop
2000-08-26,start
2001-03-24,stop
2001-10-27,start
2002-03-30,stop
2002-10-26,start
2003-03-29,stop
2003-10-25,start
2004-03-27,stop
2004-10-30,start
2005-03-26,stop
2005-10-29,start
2006-04-01,stop
2006-10-28,start
2007-03-24,stop
2007-10-27,start
2008-04-05,stop
2008-10-04,start
2009-04-04,stop
2009-10-03,start
2010-04-03,stop
2010-10-02,start
2011-04-02,stop
2011-10-01,start
2012-03-31,stop
2012-10-06,start
2013-04-06,stop
2013-10-05,start
2014-04-05,stop
2014-10-04,start
2015-04-04,stop
2015-10-03,start
2016-04-02,stop
2016-10-01,start
2017-04-01,stop
2017-09-30,start
2018-03-31,stop
2018-10-06,start
2019-04-06,stop
2019-10-05,start
2020-04-04,stop
2020-10-03,start
2021-04-03,stop
2021-10-02,start
2022-04-02,stop
2022-10-01,start
2023-04-01,stop
2023-09-30,start
