Date,regionid
2009-01-01,ACT1
2009-01-01,NSW1
2009-01-01,NT1
2009-01-01,QLD1
2009-01-01,SA1
2009-01-01,TAS1
2009-01-01,VIC1
2009-01-01,WA1
2009-01-26,ACT1
2009-01-26,NSW1
2009-01-26,NT1
2009-01-26,QLD1
2009-01-26,SA1
2009-01-26,TAS1
2009-01-26,VIC1
2009-01-26,WA1
2009-02-09,TAS1
2009-03-02,WA1
2009-03-09,ACT1
2009-03-09,SA1
2009-03-09,TAS1
2009-03-09,VIC1
2009-04-10,ACT1
2009-04-10,NSW1
2009-04-10,NT1
2009-04-10,QLD1
2009-04-10,SA1
2009-04-10,TAS1
2009-04-10,VIC1
2009-04-10,WA1
2009-04-11,ACT1
2009-04-11,NSW1
2009-04-11,NT1
2009-04-11,QLD1
2009-04-11,SA1
2009-04-11,TAS1
2009-04-11,VIC1
2009-04-11,WA1
2009-04-12,ACT1
2009-04-12,NSW1
2009-04-12,NT1
2009-04-12,QLD1
2009-04-12,SA1
2009-04-12,TAS1
2009-04-12,VIC1
2009-04-12,WA1
2009-04-13,ACT1
2009-04-13,NSW1
2009-04-13,NT1
2009-04-13,QLD1
2009-04-13,SA1
2009-04-13,TAS1
2009-04-13,VIC1
2009-04-13,WA1
2009-04-14,TAS1
2009-04-25,ACT1
2009-04-25,NSW1
2009-04-25,NT1
2009-04-25,QLD1
2009-04-25,TAS1
2009-04-25,VIC1
2009-04-25,WA1
2009-04-27,WA1
2009-05-04,NT1
2009-05-04,QLD1
2009-06-01,WA1
2009-06-08,ACT1
2009-06-08,NSW1
2009-06-08,NT1
2009-06-08,QLD1
2009-06-08,SA1
2009-06-08,TAS1
2009-06-08,VIC1
2009-08-03,NSW1
2009-08-03,NT1
2009-08-12,QLD1
2009-09-28,WA1
2009-10-05,ACT1
2009-10-05,NSW1
2009-10-05,SA1
2009-11-02,TAS1
2009-11-03,ACT1
2009-11-03,VIC1
2009-12-25,ACT1
2009-12-25,NSW1
2009-12-25,NT1
2009-12-25,QLD1
2009-12-25,SA1
2009-12-25,TAS1
2009-12-25,VIC1
2009-12-25,WA1
2009-12-26,ACT1
2009-12-26,NSW1
2009-12-26,NT1
2009-12-26,QLD1
2009-12-26,SA1
2009-12-26,TAS1
2009-12-26,VIC1
2009-12-26,WA1
2009-12-28,ACT1
2009-12-28,NSW1
2009-12-28,NT1
2009-12-28,QLD1
2009-12-28,SA1
2009-12-28,TAS1
2009-12-28,VIC1
2009-12-28,WA1
2010-01-01,ACT1
2010-01-01,NSW1
2010-01-01,NT1
2010-01-01,QLD1
2010-01-01,SA1
2010-01-01,TAS1
2010-01-01,VIC1
2010-01-01,WA1
2010-01-26,ACT1
2010-01-26,NSW1
2010-01-26,NT1
2010-01-26,QLD1
2010-01-26,SA1
2010-01-26,TAS1
2010-01-26,VIC1
2010-01-26,WA1
2010-02-08,TAS1
2010-03-01,WA1
2010-03-08,ACT1
2010-03-08,SA1
2010-03-08,TAS1
2010-03-08,VIC1
2010-04-02,ACT1
2010-04-02,NSW1
2010-04-02,NT1
2010-04-02,QLD1
2010-04-02,SA1
2010-04-02,TAS1
2010-04-02,VIC1
2010-04-02,WA1
2010-04-03,ACT1
2010-04-03,NSW1
2010-04-03,NT1
2010-04-03,QLD1
2010-04-03,VIC1
2010-04-05,ACT1
2010-04-05,NSW1
2010-04-05,NT1
2010-04-05,QLD1
2010-04-05,SA1
2010-04-05,TAS1
2010-04-05,VIC1
2010-04-05,WA1
2010-04-06,TAS1
2010-04-25,ACT1
2010-04-25,TAS1
2010-04-25,VIC1
2010-04-26,NSW1
2010-04-26,NT1
2010-04-26,QLD1
2010-04-26,SA1
2010-04-26,WA1
2010-05-03,NT1
2010-05-03,QLD1
2010-06-07,WA1
2010-06-14,ACT1
2010-06-14,NSW1
2010-06-14,QLD1
2010-06-14,SA1
2010-06-14,TAS1
2010-06-14,VIC1
2010-08-02,NSW1
2010-08-02,NT1
2010-08-11,QLD1
2010-09-27,ACT1
2010-09-27,WA1
2010-10-04,ACT1
2010-10-04,NSW1
2010-10-04,SA1
2010-11-01,TAS1
2010-11-02,VIC1
2010-12-25,ACT1
2010-12-25,NSW1
2010-12-25,NT1
2010-12-25,QLD1
2010-12-25,SA1
2010-12-25,TAS1
2010-12-25,VIC1
2010-12-25,WA1
2010-12-26,ACT1
2010-12-26,NSW1
2010-12-26,NT1
2010-12-26,QLD1
2010-12-26,SA1
2010-12-26,TAS1
2010-12-26,VIC1
2010-12-26,WA1
2010-12-27,ACT1
2010-12-27,NSW1
2010-12-27,NT1
2010-12-27,QLD1
2010-12-27,SA1
2010-12-27,TAS1
2010-12-27,VIC1
2010-12-27,WA1
2010-12-28,ACT1
2010-12-28,NSW1
2010-12-28,NT1
2010-12-28,QLD1
2010-12-28,SA1
2010-12-28,TAS1
2010-12-28,VIC1
2010-12-28,WA1
2011-01-01,ACT1
2011-01-01,NSW1
2011-01-01,NT1
2011-01-01,QLD1
2011-01-01,SA1
2011-01-01,TAS1
2011-01-01,VIC1
2011-01-01,WA1
2011-01-26,ACT1
2011-01-26,NSW1
2011-01-26,NT1
2011-01-26,QLD1
2011-01-26,SA1
2011-01-26,TAS1
2011-01-26,VIC1
2011-01-26,WA1
2011-02-14,TAS1
2011-03-07,WA1
2011-03-14,ACT1
2011-03-14,SA1
2011-03-14,TAS1
2011-03-14,VIC1
2011-04-22,ACT1
2011-04-22,NSW1
2011-04-22,NT1
2011-04-22,QLD1
2011-04-22,SA1
2011-04-22,TAS1
2011-04-22,VIC1
2011-04-22,WA1
2011-04-23,ACT1
2011-04-23,NSW1
2011-04-23,NT1
2011-04-23,QLD1
2011-04-23,SA1
2011-04-23,TAS1
2011-04-23,VIC1
2011-04-24,NSW1
2011-04-25,ACT1
2011-04-25,NSW1
2011-04-25,NT1
2011-04-25,QLD1
2011-04-25,SA1
2011-04-25,TAS1
2011-04-25,VIC1
2011-04-25,WA1
2011-04-26,NSW1
2011-04-26,NT1
2011-04-26,QLD1
2011-04-26,SA1
2011-04-26,TAS1
2011-04-26,VIC1
2011-04-26,WA1
2011-05-02,NT1
2011-05-02,QLD1
2011-06-06,WA1
2011-06-13,NSW1
2011-06-13,NT1
2011-06-13,QLD1
2011-06-13,SA1
2011-06-13,TAS1
2011-06-13,VIC1
2011-08-01,NSW1
2011-08-01,NT1
2011-08-17,QLD1
2011-10-03,ACT1
2011-10-03,NSW1
2011-10-03,SA1
2011-10-10,ACT1
2011-10-28,WA1
2011-11-01,VIC1
2011-11-07,TAS1
2011-12-25,ACT1
2011-12-25,NSW1
2011-12-25,NT1
2011-12-25,QLD1
2011-12-25,SA1
2011-12-25,TAS1
2011-12-25,VIC1
2011-12-25,WA1
2011-12-26,ACT1
2011-12-26,NSW1
2011-12-26,NT1
2011-12-26,QLD1
2011-12-26,SA1
2011-12-26,TAS1
2011-12-26,VIC1
2011-12-26,WA1
2011-12-27,ACT1
2011-12-27,NSW1
2011-12-27,NT1
2011-12-27,QLD1
2011-12-27,SA1
2011-12-27,TAS1
2011-12-27,VIC1
2011-12-27,WA1
2012-01-01,ACT1
2012-01-01,NSW1
2012-01-01,NT1
2012-01-01,QLD1
2012-01-01,SA1
2012-01-01,TAS1
2012-01-01,VIC1
2012-01-01,WA1
2012-01-02,ACT1
2012-01-02,NSW1
2012-01-02,NT1
2012-01-02,QLD1
2012-01-02,SA1
2012-01-02,TAS1
2012-01-02,VIC1
2012-01-02,WA1
2012-01-26,ACT1
2012-01-26,NSW1
2012-01-26,NT1
2012-01-26,QLD1
2012-01-26,SA1
2012-01-26,TAS1
2012-01-26,VIC1
2012-01-26,WA1
2012-02-13,TAS1
2012-03-05,WA1
2012-03-12,ACT1
2012-03-12,SA1
2012-03-12,TAS1
2012-03-12,VIC1
2012-04-06,ACT1
2012-04-06,NSW1
2012-04-06,NT1
2012-04-06,QLD1
2012-04-06,SA1
2012-04-06,TAS1
2012-04-06,VIC1
2012-04-06,WA1
2012-04-07,NSW1
2012-04-07,NT1
2012-04-07,QLD1
2012-04-08,NSW1
2012-04-08,VIC1
2012-04-09,NSW1
2012-04-09,NT1
2012-04-09,QLD1
2012-04-09,SA1
2012-04-09,TAS1
2012-04-09,VIC1
2012-04-09,WA1
2012-04-10,TAS1
2012-04-25,ACT1
2012-04-25,NSW1
2012-04-25,NT1
2012-04-25,QLD1
2012-04-25,SA1
2012-04-25,TAS1
2012-04-25,VIC1
2012-04-25,WA1
2012-05-07,NT1
2012-05-07,QLD1
2012-06-04,WA1
2012-06-06,ACT1
2012-06-06,NSW1
2012-06-11,ACT1
2012-06-11,NSW1
2012-06-11,NT1
2012-06-11,QLD1
2012-06-11,SA1
2012-06-11,TAS1
2012-06-11,VIC1
2012-08-06,NSW1
2012-08-06,NT1
2012-08-15,QLD1
2012-10-01,ACT1
2012-10-01,NSW1
2012-10-01,QLD1
2012-10-01,SA1
2012-10-01,WA1
2012-10-08,ACT1
2012-11-05,TAS1
2012-11-06,VIC1
2012-12-25,ACT1
2012-12-25,NSW1
2012-12-25,NT1
2012-12-25,QLD1
2012-12-25,SA1
2012-12-25,TAS1
2012-12-25,VIC1
2012-12-25,WA1
2012-12-26,ACT1
2012-12-26,NSW1
2012-12-26,NT1
2012-12-26,QLD1
2012-12-26,SA1
2012-12-26,TAS1
2012-12-26,VIC1
2012-12-26,WA1
2013-01-01,ACT1
2013-01-01,NSW1
2013-01-01,NT1
2013-01-01,QLD1
2013-01-01,SA1
2013-01-01,TAS1
2013-01-01,VIC1
2013-01-01,WA1
2013-01-26,ACT1
2013-01-26,NSW1
2013-01-26,NT1
2013-01-26,QLD1
2013-01-26,SA1
2013-01-26,TAS1
2013-01-26,VIC1
2013-01-26,WA1
2013-01-28,ACT1
2013-01-28,NSW1
2013-01-28,NT1
2013-01-28,QLD1
2013-01-28,SA1
2013-01-28,TAS1
2013-01-28,VIC1
2013-02-11,TAS1
2013-03-04,WA1
2013-03-11,ACT1
2013-03-11,SA1
2013-03-11,TAS1
2013-03-11,VIC1
2013-03-29,ACT1
2013-03-29,NSW1
2013-03-29,NT1
2013-03-29,QLD1
2013-03-29,SA1
2013-03-29,TAS1
2013-03-29,VIC1
2013-03-29,WA1
2013-03-30,ACT1
2013-03-30,NSW1
2013-03-30,NT1
2013-03-30,QLD1
2013-03-30,SA1
2013-03-30,VIC1
2013-03-31,NSW1
2013-03-31,QLD1
2013-04-01,ACT1
2013-04-01,NSW1
2013-04-01,NT1
2013-04-01,QLD1
2013-04-01,SA1
2013-04-01,TAS1
2013-04-01,VIC1
2013-04-01,WA1
2013-04-02,TAS1
2013-04-25,ACT1
2013-04-25,NSW1
2013-04-25,NT1
2013-04-25,QLD1
2013-04-25,SA1
2013-04-25,TAS1
2013-04-25,VIC1
2013-04-25,WA1
2013-05-06,NT1
2013-06-03,WA1
2013-06-10,ACT1
2013-06-10,NSW1
2013-06-10,NT1
2013-06-10,QLD1
2013-06-10,SA1
2013-06-10,TAS1
2013-06-10,VIC1
2013-08-05,ACT1
2013-08-05,NSW1
2013-08-05,NT1
2013-08-14,QLD1
2013-09-30,ACT1
2013-09-30,WA1
2013-10-07,ACT1
2013-10-07,QLD1
2013-10-07,SA1
2013-11-04,TAS1
2013-11-05,VIC1
2013-12-25,ACT1
2013-12-25,NSW1
2013-12-25,NT1
2013-12-25,QLD1
2013-12-25,SA1
2013-12-25,TAS1
2013-12-25,VIC1
2013-12-25,WA1
2013-12-26,ACT1
2013-12-26,NSW1
2013-12-26,NT1
2013-12-26,QLD1
2013-12-26,SA1
2013-12-26,TAS1
2013-12-26,VIC1
2013-12-26,WA1
2014-01-01,ACT1
