date,regionid,avg_wind_speed_km_per_h,max_wind_speed_km_per_h
2009-01-01,NSW1,14.8,42.5
2009-01-01,QLD1,17.3,70.2
2009-01-01,SA1,23.4,50.0
2009-01-01,TAS1,24.5,76.0
2009-01-01,VIC1,18.4,55.4
2009-01-02,NSW1,14.4,35.3
2009-01-02,QLD1,10.8,25.9
2009-01-02,SA1,24.8,44.3
2009-01-02,TAS1,16.2,50.0
2009-01-02,VIC1,19.1,42.5
2009-01-03,NSW1,23.8,50.0
2009-01-03,QLD1,12.6,33.5
2009-01-03,SA1,18.0,46.4
2009-01-03,TAS1,19.1,40.7
2009-01-03,VIC1,9.7,35.3
2009-01-04,NSW1,16.9,44.3
2009-01-04,QLD1,18.7,42.5
2009-01-04,SA1,18.0,44.3
2009-01-04,TAS1,13.0,37.1
2009-01-04,VIC1,11.5,42.5
2009-01-05,NSW1,14.0,44.3
2009-01-05,QLD1,22.3,44.3
2009-01-05,SA1,20.5,46.4
2009-01-05,TAS1,25.6,79.6
2009-01-05,VIC1,12.2,53.6
2009-01-06,NSW1,12.6,46.4
2009-01-06,QLD1,13.3,38.9
2009-01-06,SA1,19.4,57.2
2009-01-06,TAS1,24.1,64.8
2009-01-06,VIC1,14.8,44.3
2009-01-07,NSW1,16.2,42.5
2009-01-07,QLD1,15.5,
2009-01-07,SA1,31.0,51.8
2009-01-07,TAS1,18.7,51.8
2009-01-07,VIC1,17.3,48.2
2009-01-08,NSW1,16.6,50.0
2009-01-08,QLD1,16.2,37.1
2009-01-08,SA1,27.7,53.6
2009-01-08,TAS1,20.5,70.2
2009-01-08,VIC1,19.8,46.4
2009-01-09,NSW1,29.5,61.2
2009-01-09,QLD1,13.0,
2009-01-09,SA1,18.0,37.1
2009-01-09,TAS1,14.4,40.7
2009-01-09,VIC1,19.1,42.5
2009-01-10,NSW1,25.6,51.8
2009-01-10,QLD1,18.4,38.9
2009-01-10,SA1,20.9,38.9
2009-01-10,TAS1,13.7,42.5
2009-01-10,VIC1,16.6,38.9
2009-01-11,NSW1,16.6,44.3
2009-01-11,QLD1,20.9,40.7
